"Country","Activity","Minutes","Hours"
"Australia","Paid work",211,3.5
"Austria","Paid work",279,4.7
"Belgium","Paid work",194,3.2
"Canada","Paid work",268,4.5
"Denmark","Paid work",199,3.3
"Estonia","Paid work",230,3.8
"Finland","Paid work",200,3.3
"France","Paid work",170,2.8
"Germany","Paid work",223,3.7
"Greece","Paid work",187,3.1
"Hungary","Paid work",199,3.3
"Ireland","Paid work",231,3.9
"Italy","Paid work",148,2.5
"Japan","Paid work",325,5.4
"Korea","Paid work",287,4.8
"Latvia","Paid work",316,5.3
"Lithuania","Paid work",303,5
"Luxembourg","Paid work",247,4.1
"Mexico","Paid work",302,5
"Netherlands","Paid work",217,3.6
"New Zealand","Paid work",240,4
"Norway","Paid work",200,3.3
"Poland","Paid work",229,3.8
"Portugal","Paid work",258,4.3
"Slovenia","Paid work",226,3.8
"Spain","Paid work",175,2.9
"Sweden","Paid work",262,4.4
"Turkey","Paid work",217,3.6
"UK","Paid work",235,3.9
"USA","Paid work",251,4.2
"China","Paid work",314,5.2
"India","Paid work",271,4.5
"South Africa","Paid work",188,3.1
"Australia","Education",27,0.4
"Austria","Education",26,0.4
"Belgium","Education",41,0.7
"Canada","Education",35,0.6
"Denmark","Education",25,0.4
"Estonia","Education",24,0.4
"Finland","Education",29,0.5
"France","Education",34,0.6
"Germany","Education",24,0.4
"Greece","Education",40,0.7
"Hungary","Education",38,0.6
"Ireland","Education",36,0.6
"Italy","Education",27,0.4
"Japan","Education",36,0.6
"Korea","Education",56,0.9
"Latvia","Education",13,0.2
"Lithuania","Education",11,0.2
"Luxembourg","Education",37,0.6
"Mexico","Education",45,0.8
"Netherlands","Education",25,0.4
"New Zealand","Education",29,0.5
"Norway","Education",40,0.7
"Poland","Education",30,0.5
"Portugal","Education",36,0.6
"Slovenia","Education",37,0.6
"Spain","Education",26,0.4
"Sweden","Education",31,0.5
"Turkey","Education",29,0.5
"UK","Education",26,0.4
"USA","Education",31,0.5
"China","Education",24,0.4
"India","Education",23,0.4
"South Africa","Education",38,0.6
"Australia","Care for household members",44,0.7
"Austria","Care for household members",33,0.6
"Belgium","Care for household members",22,0.4
"Canada","Care for household members",29,0.5
"Denmark","Care for household members",28,0.5
"Estonia","Care for household members",27,0.4
"Finland","Care for household members",22,0.4
"France","Care for household members",22,0.4
"Germany","Care for household members",18,0.3
"Greece","Care for household members",19,0.3
"Hungary","Care for household members",33,0.6
"Ireland","Care for household members",60,1
"Italy","Care for household members",26,0.4
"Japan","Care for household members",0,0
