region,hours
Cambodia,2456
Myanmar,2438
Mexico,2255
Malaysia,2238
Singapore,2238
Bangladesh,2232
Costa Rica,2212
South Africa,2209
Hong Kong,2186
Thailand,2185
China,2174
Vietnam,2170
Philippines,2149
India,2117
Pakistan,2096
South Korea,2063
Malta,2040
Poland,2028
Indonesia,2024
Greece,2017
Colombia,1998
Taiwan,1990
Chile,1974
Russia,1974
Hungary,1937
Peru,1932
Sri Lanka,1924
Israel,1921
Latvia,1875
Portugal,1863
Estonia,1857
Lithuania,1844
Croatia,1835
Turkey,1832
Nigeria,1827
Romania,1806
Cyprus,1784
Czechia,1776
USA,1757
New Zealand,1752
Ireland,1746
Slovakia,1745
Japan,1738
Australia,1731
Italy,1723
Brazil,1709
Ecuador,1701
Canada,1696
Argentina,1692
Spain,1686
United Kingdom,1670
Finland,1659
Slovenia,1655
Bulgaria,1644
Austria,1613
Sweden,1609
Switzerland,1590
Uruguay,1552
Belgium,1544
Luxembourg,1519
France,1514
Iceland,1493
Netherlands,1430
Norway,1417
Denmark,1400
Germany,1354
