"Country","Work","Education","Care_For_Household_Members","Housework","Shopping","Unpaid_Work/Volunteering","Sleep","Eating","Personal_Care","Sports","Attending_Events","Seeing_Friends","TV_&_Radio","Other_Leisure"
"Australia",211,27,44,132,29,57,512,89,56,19,6,40,140,76
"Austria",279,26,33,124,20,31,498,78,54,32,9,81,108,59
"Belgium",194,41,22,120,28,30,512,98,52,21,15,50,130,121
"Canada",268,35,29,114,24,51,520,64,52,20,5,53,109,89
"Denmark",199,25,28,127,26,44,488,119,51,22,7,81,122,94
"Estonia",230,24,27,120,23,40,530,78,53,27,7,37,122,114
"Finland",200,29,22,109,26,80,508,80,51,37,7,54,118,113
"France",170,34,22,128,22,17,512,132,106,11,14,55,113,97
"Germany",223,24,18,109,32,52,498,94,54,26,13,60,118,112
"Greece",187,40,19,124,16,26,500,127,57,27,5,56,136,115
"Hungary",199,38,33,149,19,35,505,101,76,12,5,35,133,93
"Ireland",231,36,60,90,27,71,491,75,42,20,41,48,85,116
"Italy",148,27,26,134,27,43,513,126,67,38,5,65,103,110
"Japan",325,36,0,80,24,97,442,93,84,10,NA,16,103,147
"Korea",287,56,27,76,13,42,471,116,89,27,4,42,102,82
"Latvia",316,13,15,129,15,39,512,88,40,24,4,35,123,80
"Lithuania",303,11,19,154,17,41,503,88,54,15,1,31,136,60
"Luxembourg",247,37,20,107,23,42,518,112,55,33,12,32,116,82
"Mexico",302,45,38,187,14,45,498,77,57,13,7,44,65,41
"Netherlands",217,25,21,104,28,46,502,114,64,22,6,72,112,100
"New Zealand",240,29,30,110,24,59,526,80,42,17,6,69,124,85
"Norway",200,40,23,82,20,76,492,79,55,20,8,57,128,153
"Poland",229,30,38,135,25,38,508,90,57,23,2,45,121,93
"Portugal",258,36,17,161,15,35,505,111,58,12,10,43,113,60
"Slovenia",226,37,20,165,17,31,501,85,40,31,4,61,119,91
"Spain",175,26,35,115,25,53,515,125,50,41,9,50,129,84
"Sweden",262,31,32,107,23,33,482,82,57,34,8,52,113,112
"Turkey",217,29,28,123,13,59,514,117,49,9,2,68,124,81
"UK",235,26,32,103,29,62,508,79,57,19,7,47,133,98
"USA",251,31,30,99,22,65,528,62,57,17,8,43,148,73
"China",314,24,22,102,19,32,541,99,51,22,1,22,126,52
"India",271,23,21,148,11,22,528,83,75,5,4,73,61,109
"South Africa",188,38,17,130,9,40,553,72,69,5,5,82,131,81
