"Country","Year","Hours"
"France",1870,3168
"France",1880,3165
"France",1890,3119
"France",1900,3115
"France",1913,2933
"France",1929,2198
"France",1938,1760
"France",1950,2193
"France",1951,2215
"France",1952,2198
"France",1953,2179
"France",1954,2194
"France",1955,2179
"France",1956,2130
"France",1957,2107
"France",1958,2096
"France",1959,2100
"France",1960,2112
"France",1961,2092
"France",1962,2107
"France",1963,2094
"France",1964,2104
"France",1965,2093
"France",1966,2087
"France",1967,2056
"France",1968,2034
"France",1969,1964
"France",1970,1948
"France",1971,1948
"France",1972,1898
"France",1973,1884
"France",1974,1855
"France",1975,1830
"France",1976,1857
"France",1977,1820
"France",1978,1790
"France",1979,1787
"France",1980,1779
"France",1981,1760
"France",1982,1688
"France",1983,1671
"France",1984,1665
"France",1985,1630
"France",1986,1627
"France",1987,1639
"France",1988,1648
"France",1989,1634
"France",1990,1629
"France",1991,1623
"France",1992,1622
"France",1993,1614
"France",1994,1612
"France",1995,1591
"France",1996,1587
"France",1997,1586
"France",1998,1576
"France",1999,1569
"France",2000,1550
"France",2001,1530
"France",2002,1497
"France",2003,1502
"France",2004,1526
"France",2005,1527
"France",2006,1511
"France",2007,1530
"France",2008,1538
"France",2009,1521
"France",2010,1528
"France",2011,1535
"France",2012,1529
"France",2013,1514
"France",2014,1509
"France",2015,1509
"France",2016,1503
"France",2017,1514
"Germany",1870,3284
"Germany",1880,3223
"Germany",1890,3108
"Germany",1900,3056
"Germany",1913,2723
"Germany",1929,2128
"Germany",1938,2187
"Germany",1950,2427
"Germany",1951,2402
"Germany",1952,2376
"Germany",1953,2351
"Germany",1954,2326
"Germany",1955,2301
"Germany",1956,2276
"Germany",1957,2252
"Germany",1958,2228
"Germany",1959,2205
"Germany",1960,2181
"Germany",1961,2155
"Germany",1962,2117
"Germany",1963,2087
"Germany",1964,2098
"Germany",1965,2084
"Germany",1966,2058
"Germany",1967,2020
"Germany",1968,2008
"Germany",1969,1988
"Germany",1970,1973
"Germany",1971,1941
"Germany",1972,1915
"Germany",1973,1885
"Germany",1974,1852
"Germany",1975,1812
"Germany",1976,1824
"Germany",1977,1806
"Germany",1978,1787
"Germany",1979,1775
"Germany",1980,1756
"Germany",1981,1734
"Germany",1982,1723
"Germany",1983,1710
"Germany",1984,1699
"Germany",1985,1676
"Germany",1986,1657
"Germany",1987,1634
"Germany",1988,1629
"Germany",1989,1606
"Germany",1990,1583
"Germany",1991,1554
"Germany",1992,1565
"Germany",1993,1542
"Germany",1994,1537
"Germany",1995,1528
"Germany",1996,1510
"Germany",1997,1500
"Germany",1998,1494
"Germany",1999,1479
"Germany",2000,1452
"Germany",2001,1442
"Germany",2002,1431
"Germany",2003,1425
"Germany",2004,1422
"Germany",2005,1411
"Germany",2006,1425
"Germany",2007,1424
"Germany",2008,1418
"Germany",2009,1373
"Germany",2010,1390
"Germany",2011,1393
"Germany",2012,1375
"Germany",2013,1363
"Germany",2014,1367
"Germany",2015,1368
"Germany",2016,1359
"Germany",2017,1354
"Spain",1870,2968
"Spain",1880,2876
"Spain",1890,2787
"Spain",1900,2710
"Spain",1913,2601
"Spain",1929,2342
"Spain",1938,2030
"Spain",1950,2209
"Spain",1951,2205
"Spain",1952,2200
"Spain",1953,2197
"Spain",1954,2214
"Spain",1955,2195
"Spain",1956,2179
"Spain",1957,2164
"Spain",1958,2150
