region,value
Albania,32.39
Argentina,12.38
Australia,0.74
Austria,1.04
Belgium,0.16
Bolivia,23.42
Brazil,20.78
Bulgaria,6.9
Colombia,28.22
Costa Rica,11.17
Croatia,2.35
Cyprus,0.08
Czechia,0.18
Denmark,0.26
Dominican Republic,13.91
Ecuador,24.21
El Salvador,26.28
Estonia,0.81
Finland,0.19
France,0.11
Germany,0.25
Greece,2.92
Honduras,50.44
Hungary,2.05
Ireland,0.11
Israel,1.98
Italy,2.95
Latvia,2.46
Lithuania,2.43
Luxembourg,0.58
Malta,0.27
Mexico,26.59
Montenegro,16.82
Netherlands,0.35
North Macedonia,17.91
Norway,0.39
Panama,12.58
Paraguay,15.59
Peru,22.33
Philippines,46.92
Poland,1.09
Portugal,1.67
Romania,10.85
Russia,2.1
Serbia,14.31
Seychelles,5.17
Slovakia,2.45
Slovenia,0.07
Spain,2.4
Sweden,1.21
Switzerland,0.14
USA,1.75
Uruguay,2.96
Somalia,70.73
Congo Democratic Republic,69.69
South Sudan,67.33
Burundi,65.13
Central African Republic,61.88
Zambia,61.35
Rwanda,52.01
Niger,50.63
Tanzania,44.95
Turkmenistan,43.12
Uganda,42.73
Zimbabwe,34.21
United Arab Emirates,0
China,0.43
India,11.09
South Africa,20.48
Canada,0.25
Morocco,1.44
Indonesia,5.42
Algeria,6.42
